Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:18460000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
18460000;2;10/02/2020;01/01/1900 13:33;164;"630,0";"4150,0";"5400,0";"747,0";"0,769";"7,23";Marcos/Benjamin/Alex;3
18460000;1;10/02/2020;01/01/1900 13:33;164;"630,0";"4150,0";"5402,2";"746,9";"0,769";"10,8";Marcos/Benjamin/Alex;3
18460000;2;01/02/2020;01/01/1900 10:57;1;"583,0";"3400,0";"4990,0";"760,0";"0,682";"6,57";Erivelton/Edson/Santos;16
18460000;1;01/02/2020;01/01/1900 10:57;1;"583,0";"3402,0";"4900,0";"759,55";"0,682";"6,57";Erivelton/Edson/Santos;16
18460000;1;01/02/2020;01/01/1900 10:57;1;"583,0";"3402,0";"4900,0";"759,55";"0,682";"6,57";Erivelton/Edson/Santos;16
18460000;2;17/09/2019;01/01/1900 11:35;1;"348,0";"702,0";"3310,0";"727,0";"0,212";"4,56";Elber Cajuhy;16
18460000;1;17/09/2019;01/01/1900 11:35;1;"348,0";"701,919";"3311,144";"726,56";"0,212";"4,5572";Elber Cajuhy;16
18460000;2;08/04/2019;01/01/1900 09:46;1;"816,0";"6730,0";"6780,0";"757,0";"0,993";"8,95";Elber Cajuhy;16
18460000;1;08/04/2019;01/01/1900 09:46;1;"816,0";"6732,476";"6779,729";"757,455";"0,993";"8,9506";Elber Cajuhy;16
18460000;2;28/11/2018;01/01/1900 09:35;1;"466,0";"2000,0";"4290,0";"750,0";"0,468";"5,71";Elber Cajuhy;16
18460000;1;28/11/2018;01/01/1900 09:35;1;"466,0";"2004,288";"4286,174";"750,046";"0,468";"5,714";Elber Cajuhy;16
18460000;2;10/09/2018;01/01/1900 09:12;1;"417,0";"1450,0";"3840,0";"739,0";"0,378";"5,2";Elber Cajuhy;16
18460000;1;10/09/2018;01/01/1900 09:12;1;"417,0";"1452,0";"3841,0";"739,19";"0,378";"5,2";Elber Cajuhy;16
18460000;2;23/08/2018;01/01/1900 09:32;1;"361,0";"801,0";"3440,0";"729,0";"0,233";"4,73";Elber Cajuhy;16
18460000;1;23/08/2018;01/01/1900 09:32;1;"361,0";"801,332";"3444,22";"728,616";"0,233";"4,727";Elber Cajuhy;16
18460000;2;24/05/2018;01/01/1900 10:20;1;"585,0";"3500,0";"5120,0";"751,0";"0,683";"6,81";Elber Cajuhy;16
18460000;1;24/05/2018;01/01/1900 10:20;1;"585,0";"3497,415";"5117,104";"751,016";"0,683";"6,8135";Elber Cajuhy;16
18460000;2;26/02/2018;01/01/1900 09:26;1;"821,0";"6520,0";"6880,0";"758,0";"0,948";"9,07";Elber Cajuhy;16
18460000;1;26/02/2018;01/01/1900 09:26;1;"821,0";"6521,985";"6877,976";"758,466";"0,948";"9,0682";Elber Cajuhy;16
18460000;2;29/11/2017;01/01/1900 08:53;1;"445,0";"1710,0";"4070,0";"747,0";"0,42";"5,45";Elber;16
18460000;1;29/11/2017;01/01/1900 08:53;1;"445,0";"1710,824";"4072,75";"746,91";"0,42";"5,45";Elber;16
18460000;2;25/09/2017;01/01/1900 13:00;1;"334,0";"566,0";"3260,0";"727,0";"0,174";"4,49";Elber Cajuhy;16
18460000;1;25/09/2017;01/01/1900 13:00;1;"334,0";"566,29";"3264,325";"726,802";"0,174";"4,491";Elber Cajuhy;16
18460000;2;12/06/2017;01/01/1900 09:20;3;"479,0";"2210,0";"4370,0";"743,0";"0,505";"5,88";Elber;16
18460000;1;12/06/2017;01/01/1900 09:20;3;"479,0";"2206,081";"4370,985";"743,464";"0,505";"5,88";Elber;16
18460000;2;24/03/2017;01/01/1900 09:30;1;"857,0";"7320,0";"7130,0";"760,0";"1,03";"9,38";ELBER CAJUHY;16
18460000;1;24/03/2017;01/01/1900 09:30;1;"857,0";"7316,0";"7131,0";"759,84";"1,026";"9,38";ELBER CAJUHY;16
18460000;2;23/11/2016;01/01/1900 08:58;5;"445,0";"1730,0";"4080,0";"747,0";"0,423";"5,47";;
18460000;1;23/11/2016;01/01/1900 08:58;5;"445,0";"1727,687";"4080,641";"746,659";"0,423";"5,4652";;
18460000;2;18/10/2016;01/01/1900 17:31;4;"359,0";"805,0";"3410,0";"739,0";"0,236";"4,62";;
18460000;1;18/10/2016;01/01/1900 17:31;4;"359,0";"805,324";"3414,45";"738,938";"0,236";"4,62";;
18460000;2;22/09/2016;01/01/1900 16:26;3;"337,0";"602,0";"3240,0";"732,0";"0,186";"4,43";;
18460000;1;22/09/2016;01/01/1900 16:26;3;"337,0";"601,783";"3243,671";"732,166";"0,186";"4,4302";;
18460000;2;08/08/2016;01/01/1900 12:00;2;"358,0";"729,0";"3330,0";"726,0";"0,219";"4,59";;
18460000;1;08/08/2016;01/01/1900 12:00;2;"358,0";"729,04";"3333,867";"725,635";"0,219";"4,594";;
18460000;2;17/02/2016;01/01/1900 11:30;5;"705,0";"3830,0";"5090,0";"752,0";"0,753";"6,77";;
18460000;1;17/02/2016;01/01/1900 11:30;5;"705,0";"3832,0";"5087,0";"752,13";"0,753";"10,45";;
18460000;1;17/02/2016;01/01/1900 11:30;5;"806,0";"3831,977";"5087,075";"752,126";"0,753";"10,446";;
18460000;2;11/11/2015;01/01/1900 18:05;4;"375,0";"860,0";"3340,0";"739,0";"0,258";"4,51";;
18460000;1;11/11/2015;01/01/1900 18:05;4;"375,0";"860,467";"3335,8";"738,571";"0,258";"8,207";;
18460000;2;13/04/2015;01/01/1900 14:58;2;"774,0";"5700,0";"6390,0";"749,0";"0,892";"8,53";;
18460000;1;13/04/2015;01/01/1900 14:58;2;"774,0";"5699,492";"6386,046";"749,065";"0,892";"12,229";;
18460000;2;15/01/2015;01/01/1900 16:48;1;"618,0";"4040,0";"5220,0";"755,0";"0,775";"6,91";;
18460000;1;15/01/2015;01/01/1900 16:48;1;"618,0";"4041,476";"5220,138";"755,322";"0,775";"6,91";;
18460000;2;13/12/2013;01/01/1900 10:23;207;"557,0";"3042,0";"4872,0";"740,39";"0,624";"6,58";;0
18460000;1;13/12/2013;01/01/1900 10:23;4;"557,0";"3042,0";"4872,0";"740,39";"0,624";"6,58";;
18460000;2;19/10/2013;01/01/1900 08:31;206;"392,0";"946,0";"3436,0";"720,97";"0,275";"4,77";;0
18460000;1;19/10/2013;01/01/1900 08:31;3;"392,0";"946,0";"3436,0";"720,97";"0,275";"4,77";;
18460000;2;23/04/2013;01/01/1900 09:19;205;"789,0";"7212,952";"6684,726";"765,05";"1,079";"8,738";;0
18460000;1;23/04/2013;01/01/1900 09:19;1;"789,0";"7212,952";"6684,726";"765,05";"1,079";"8,738";;
18460000;1;02/01/2013;01/01/1900 10:30;1;"475,0";"3008,191";"3909,006";"574,8";"0,77";"6,801";;
18460000;2;06/12/2012;01/01/1900 12:00;204;"491,0";"2335,084";"4370,262";"750,66";"0,534";"5,822";;0
18460000;1;06/12/2012;01/01/1900 12:00;1;"491,0";"2335,084";"4370,262";"750,66";"0,534";"5,822";;
18460000;2;07/08/2012;01/01/1900 10:00;203;"388,0";"1105,248";"3616,894";"744,95";"0,306";"4,855";;0
18460000;1;07/08/2012;01/01/1900 10:00;1;"388,0";"1105,248";"3616,894";"744,95";"0,306";"4,855";;
18460000;2;26/05/2012;01/01/1900 11:00;202;"578,0";"3584,787";"5018,674";"740,49";"0,714";"6,778";;0
18460000;1;26/05/2012;01/01/1900 11:00;1;"578,0";"3584,787";"5018,674";"740,49";"0,714";"6,778";;
18460000;2;24/03/2012;01/01/1900 09:15;201;"901,5";"8070,859";"7295,17";"769,02";"1,106";"9,486";;0
18460000;1;24/03/2012;01/01/1900 09:15;1;"424,0";"8070,859";"7295,17";"769,02";"1,106";"9,486";;
18460000;2;04/11/2011;01/01/1900 09:15;200;"424,0";"1479,599";"3888,358";"748,43";"0,381";"5,195";;0
18460000;1;04/11/2011;01/01/1900 09:15;1;"424,0";"1479,599";"3888,358";"748,43";"0,381";"5,195";;
18460000;2;19/08/2011;01/01/1900 07:15;199;"372,0";"1042,599";"3612,667";"744,33";"0,289";"4,854";;0
18460000;1;19/08/2011;01/01/1900 07:15;1;"274,0";"1042,599";"3612,667";"744,33";"0,289";"4,854";;
18460000;2;26/05/2011;01/01/1900 12:10;198;"685,0";"4273,666";"5672,595";"758,6";"0,753";"7,478";;0
18460000;1;26/05/2011;01/01/1900 12:10;1;"685,0";"4273,666";"5672,595";"758,6";"0,753";"7,478";;
18460000;2;15/02/2011;01/01/1900 09:35;197;"763,0";"5836,286";"6491,796";"847,23";"0,899";"7,662";;0
18460000;1;15/02/2011;01/01/1900 09:35;1;"763,0";"5836,286";"6491,796";"847,23";"0,899";"7,662";;
18460000;2;08/11/2010;01/01/1900 10:57;196;"383,0";"1030,0";"3542,0";"743,47";"0,291";"4,76";;0
18460000;1;08/11/2010;01/01/1900 10:57;1;"383,0";"1030,0";"3542,0";"743,47";"0,291";"4,76";;
18460000;2;10/08/2010;01/01/1900 09:42;195;"365,0";"975,0";"3601,0";"713,96";"0,271";"5,04";;0
18460000;1;10/08/2010;01/01/1900 09:42;1;"365,0";"975,0";"3601,0";"713,96";"0,271";"5,04";;
18460000;2;14/05/2010;01/01/1900 11:25;194;"601,0";"3887,427";"5369,53";"757,61";"0,724";"7,09";;0
18460000;1;14/05/2010;01/01/1900 11:25;1;"601,0";"3887,427";"5369,53";"757,61";"0,724";"7,09";;
18460000;2;11/02/2010;01/01/1900 13:35;193;"788,0";"5680,95";"5844,6";"764,0";"0,972";"7,65";;0
18460000;1;11/02/2010;01/01/1900 13:35;1;"788,0";"11283,0";"11611,0";"1517,15";"0,972";"7,65";;
18460000;2;06/11/2009;01/01/1900 09:40;191;"423,0";"1497,47";"3929,27";"740,04";"0,381";"5,31";;0
18460000;2;06/11/2009;01/01/1900 11:15;192;"423,0";"1692,014";"4161,514";"740,04";"0,407";"5,62";;0
18460000;1;06/11/2009;01/01/1900 11:15;2;"423,0";"1692,014";"4161,514";"740,04";"0,407";"5,62";;
18460000;1;06/11/2009;01/01/1900 09:40;1;"423,0";"1497,47";"3929,27";"740,04";"0,381";"5,31";;
18460000;2;26/08/2009;01/01/1900 09:47;190;"366,0";"1030,0";"3649,0";"741,73";"0,282";"4,92";;0
18460000;1;26/08/2009;01/01/1900 11:05;2;"336,0";"1033,0";"3801,0";"741,73";"0,272";"5,12";;
18460000;1;26/08/2009;01/01/1900 11:05;2;"336,0";"1033,084";"3801,01";"741,73";"0,272";"5,12";;
18460000;1;26/08/2009;01/01/1900 09:47;1;"336,0";"1030,0";"3649,0";"741,73";"0,282";"4,92";;
18460000;2;23/05/2009;01/01/1900 10:00;1;"795,0";"6502,0";"6733,0";"758,84";"0,966";"8,87";;
18460000;2;23/05/2009;01/01/1900 12:02;2;"795,0";"6548,0";"6741,0";"758,84";"0,971";"8,88";;
18460000;2;23/05/2009;01/01/1900 10:00;188;"795,0";"6502,0";"6733,0";"758,84";"0,966";"8,87";;0
18460000;2;23/05/2009;01/01/1900 12:02;189;"795,0";"6548,0";"6741,0";"758,84";"0,971";"8,88";;0
18460000;1;23/05/2009;01/01/1900 10:00;1;"795,0";"6501,72";"6732,72";"758,84";"0,966";"8,87";;
18460000;1;23/05/2009;01/01/1900 12:02;2;"795,0";"6547,771";"6740,73";"758,84";"0,971";"8,88";;
18460000;2;05/03/2009;01/01/1900 10:25;187;"803,0";"6925,736";"6814,32";"762,33";"1,016";"8,94";;0
18460000;1;05/03/2009;01/01/1900 10:25;1;"803,0";"6925,736";"6814,32";"762,33";"1,016";"8,94";;
18460000;2;21/11/2008;01/01/1900 08:20;185;"390,0";"1322,4";"3969,31";"741,73";"0,333";"5,35";;0
18460000;2;21/11/2008;01/01/1900 10:35;186;"390,0";"1335,63";"3853,92";"734,78";"0,347";"5,24";;0
18460000;1;21/11/2008;01/01/1900 10:35;2;"390,0";"1335,63";"3853,92";"734,78";"0,347";"5,24";;
18460000;1;21/11/2008;01/01/1900 08:20;1;"390,0";"1322,4";"3969,31";"741,73";"0,333";"5,35";;
18460000;2;13/09/2008;01/01/1900 09:00;183;"353,0";"1069,77";"3385,7";"734,0";"0,316";"4,61";;0
18460000;2;13/09/2008;01/01/1900 10:35;184;"353,0";"1119,419";"3547,98";"735,06";"0,316";"4,83";;0
18460000;1;13/09/2008;01/01/1900 09:00;1;"353,0";"1069,77";"3385,7";"734,0";"0,316";"4,61";;
18460000;1;13/09/2008;01/01/1900 10:35;2;"353,0";"1119,419";"3547,98";"735,06";"0,316";"4,83";;
18460000;2;08/08/2008;01/01/1900 08:30;181;"385,0";"1149,372";"3638,82";"749,19";"0,316";"4,86";;0
18460000;2;08/08/2008;01/01/1900 10:25;182;"385,0";"1185,462";"3737,03";"749,19";"0,317";"4,99";;0
18460000;1;08/08/2008;01/01/1900 10:25;2;"385,0";"1185,462";"3737,03";"749,19";"0,317";"4,99";;
18460000;1;08/08/2008;01/01/1900 08:30;1;"385,0";"1149,372";"3638,82";"749,19";"0,316";"4,86";;
18460000;2;23/05/2008;01/01/1900 13:25;1;"650,0";"4831,0";"5470,0";"746,45";"0,883";"7,33";;
18460000;2;23/05/2008;01/01/1900 15:35;2;"649,0";"4885,0";"5622,0";"746,45";"0,869";"7,53";;
18460000;2;23/05/2008;01/01/1900 15:35;180;"649,0";"4885,0";"5622,0";"746,45";"0,869";"7,53";;0
18460000;2;23/05/2008;01/01/1900 13:25;179;"650,0";"4831,0";"5470,0";"746,45";"0,883";"7,33";;0
18460000;1;23/05/2008;01/01/1900 15:35;2;"649,0";"4885,009";"5621,8";"746,45";"0,869";"7,53";;
18460000;1;23/05/2008;01/01/1900 13:25;1;"650,0";"4831,469";"5470,23";"746,45";"0,883";"7,33";;
18460000;2;22/11/2007;01/01/1900 16:55;1;"376,0";"1044,0";"3723,0";"735,47";"0,28";"5,06";;
18460000;2;22/11/2007;01/01/1900 16:55;2;"376,0";"1068,0";"3711,0";"735,47";"0,288";"5,05";;
18460000;2;22/11/2007;01/01/1900 16:55;177;"376,0";"1044,0";"3723,0";"735,47";"0,28";"5,06";;0
18460000;2;22/11/2007;01/01/1900 16:55;178;"376,0";"1068,0";"3711,0";"735,47";"0,288";"5,05";;0
18460000;1;22/11/2007;01/01/1900 16:55;2;"376,0";"1068,0";"3711,0";"735,47";"0,288";"5,05";;
18460000;1;22/11/2007;01/01/1900 16:55;1;"376,0";"1044,0";"3723,0";"735,47";"0,28";"5,06";;
18460000;2;10/05/2007;01/01/1900 09:50;2;"616,0";"4471,0";"5648,0";"785,43";"0,792";"7,19";;
18460000;2;10/05/2007;01/01/1900 08:15;1;"616,0";"4356,0";"5523,0";"797,42";"0,789";"6,93";;
18460000;2;10/05/2007;01/01/1900 08:15;175;"616,0";"4356,0";"5523,0";"797,42";"0,789";"6,93";;0
18460000;2;10/05/2007;01/01/1900 09:50;176;"616,0";"4471,0";"5648,0";"785,43";"0,792";"7,19";;0
18460000;1;10/05/2007;01/01/1900 09:50;2;"616,0";"4470,751";"5647,68";"785,43";"0,792";"7,19";;
18460000;1;10/05/2007;01/01/1900 08:15;1;"616,0";"4356,161";"5522,74";"797,42";"0,789";"6,93";;
18460000;2;10/03/2007;01/01/1900 14:51;1;"903,0";"7992,0";"7765,0";"756,25";"1,029";"10,27";;
18460000;2;10/03/2007;01/01/1900 14:51;174;"903,0";"7992,0";"7765,0";"756,25";"1,029";"10,27";;0
18460000;1;10/03/2007;01/01/1900 14:51;1;"903,0";"7991,613";"7764,68";"756,25";"1,029";"10,27";;
18460000;2;10/12/2006;01/01/1900 11:00;1;"471,0";"2219,0";"4482,0";"712,13";"0,495";"6,29";;
18460000;2;10/12/2006;01/01/1900 12:57;2;"471,0";"2190,0";"4289,0";"712,47";"0,511";"6,02";;
18460000;2;10/12/2006;01/01/1900 11:00;172;"471,0";"2219,0";"4482,0";"712,13";"0,495";"6,29";;0
18460000;2;10/12/2006;01/01/1900 12:57;173;"471,0";"2190,0";"4289,0";"712,47";"0,511";"6,02";;0
18460000;1;10/12/2006;01/01/1900 11:00;1;"471,0";"2219,133";"4482,06";"712,13";"0,495";"6,29";;
18460000;1;10/12/2006;01/01/1900 12:57;2;"471,0";"2189,693";"4288,93";"712,47";"0,511";"6,02";;
18460000;2;11/09/2006;01/01/1900 17:20;2;"364,0";"959,0";"3826,0";"779,92";"0,251";"4,9";;
18460000;2;11/09/2006;01/01/1900 15:05;1;"364,0";"952,0";"3846,0";"780,0";"0,248";"4,93";;
18460000;2;11/09/2006;01/01/1900 15:05;170;"364,0";"952,0";"3846,0";"780,0";"0,248";"4,93";;0
18460000;2;11/09/2006;01/01/1900 17:20;171;"364,0";"959,0";"3826,0";"779,92";"0,251";"4,9";;0
18460000;1;11/09/2006;01/01/1900 17:20;2;"364,0";"958,537";"3825,569";"779,92";"0,251";"4,9";;
18460000;1;11/09/2006;01/01/1900 15:05;1;"364,0";"952,124";"3846,458";"780,0";"0,248";"4,93";;
18460000;2;12/06/2006;01/01/1900 13:20;1;"569,0";"3650,0";"5341,0";"765,95";"0,683";"6,97";;
18460000;2;12/06/2006;01/01/1900 15:00;2;"568,0";"3643,0";"5274,0";"765,95";"0,691";"6,89";;
18460000;2;12/06/2006;01/01/1900 15:00;169;"568,0";"3643,0";"5274,0";"765,95";"0,691";"6,89";;0
18460000;2;12/06/2006;01/01/1900 13:20;168;"569,0";"3650,0";"5341,0";"765,95";"0,683";"6,97";;0
18460000;1;12/06/2006;01/01/1900 13:20;1;"569,0";"3649,964";"5340,56";"765,95";"0,683";"6,97";;
18460000;1;12/06/2006;01/01/1900 15:00;2;"568,0";"3642,996";"5273,82";"765,95";"0,691";"6,89";;
18460000;2;24/03/2006;01/01/1900 14:05;1;"859,0";"8610,0";"7619,0";"810,99";"1,13";"9,39";;
18460000;2;24/03/2006;01/01/1900 17:00;2;"860,0";"8518,41";"7642,581";"810,99";"1,114";"9,42";;
18460000;2;24/03/2006;01/01/1900 14:05;166;"859,0";"8610,0";"7619,0";"810,99";"1,13";"9,39";;0
18460000;2;24/03/2006;01/01/1900 17:00;167;"860,0";"8518,41";"7642,581";"810,99";"1,114";"9,42";;0
18460000;1;24/03/2006;01/01/1900 14:05;1;"859,0";"8609,725";"7619,07";"810,99";"1,13";"9,39";;
18460000;1;24/03/2006;01/01/1900 17:00;2;"859,5";"8510,278";"7642,58";"810,99";"1,114";"9,42";;
18460000;2;30/09/2005;01/01/1900 11:30;1;"348,0";"826,0";"4265,0";"959,23";"0,194";"4,45";;
18460000;1;30/09/2005;01/01/1900 11:30;1;"348,0";"826,32";"4264,65";"959,23";"0,194";"4,45";;
18460000;2;18/07/2005;01/01/1900 10:50;1;"405,0";"1138,83";"3635,56";"722,46";"0,313";"5,03";;
18460000;2;18/07/2005;01/01/1900 10:50;164;"405,0";"1138,83";"3635,56";"722,46";"0,313";"5,03";;0
18460000;1;18/07/2005;01/01/1900 10:50;1;"405,0";"1138,83";"3635,56";"722,46";"0,313";"5,03";;
18460000;2;25/12/2002;01/01/1900 11:40;34;"445,0";"1669,974";"4195,45";"717,36";"0,398";"5,85";;
18460000;2;25/12/2002;01/01/1900 11:40;163;"445,0";"1669,974";"4195,45";"717,36";"0,398";"5,85";;0
18460000;1;25/12/2002;01/01/1900 11:40;34;"445,0";"1669,974";"4195,45";"717,36";"0,398";"5,85";;
18460000;2;16/10/2002;01/01/1900 09:00;33;"347,0";"763,955";"3372,56";"706,49";"0,227";"4,77";;
18460000;2;16/10/2002;01/01/1900 09:00;162;"347,0";"763,955";"3372,56";"706,49";"0,227";"4,77";;0
18460000;1;16/10/2002;01/01/1900 09:00;33;"347,0";"763,955";"3372,56";"706,49";"0,227";"4,77";;
18460000;2;12/07/2002;01/01/1900 14:05;32;"375,0";"920,352";"3510,94";"712,11";"0,262";"4,93";;
18460000;2;12/07/2002;01/01/1900 14:05;161;"375,0";"920,352";"3510,94";"712,11";"0,262";"4,93";;0
18460000;1;12/07/2002;01/01/1900 14:05;32;"375,0";"920,352";"3510,94";"712,11";"0,262";"4,93";;
18460000;2;06/04/2002;01/01/1900 10:00;31;"715,0";"5177,34";"6075,1";"763,5";"0,852";"7,96";;
18460000;2;06/04/2002;01/01/1900 10:00;160;"715,0";"5177,34";"6075,1";"763,5";"0,852";"7,96";;0
18460000;1;06/04/2002;01/01/1900 10:00;31;"715,0";"5177,34";"6075,1";"763,5";"0,852";"7,96";;
18460000;2;20/11/2001;01/01/1900 11:25;30;"390,0";"1145,072";"3821,75";"741,0";"0,3";"5,16";;
18460000;2;20/11/2001;01/01/1900 11:25;159;"390,0";"1145,072";"3821,75";"741,0";"0,3";"5,16";;0
18460000;1;20/11/2001;01/01/1900 11:25;30;"390,0";"1145,072";"3821,75";"741,0";"0,3";"5,16";;
18460000;2;19/08/2001;01/01/1900 07:00;29;"348,0";"655,79";"3533,91";"733,7";"0,186";"4,82";;
18460000;2;19/08/2001;01/01/1900 07:00;158;"348,0";"655,79";"3533,91";"733,7";"0,186";"4,82";;0
18460000;1;19/08/2001;01/01/1900 07:00;29;"348,0";"655,79";"3533,91";"733,7";"0,186";"4,82";;
18460000;2;10/05/2001;01/01/1900 11:20;28;"605,0";"4245,0";"5598,0";"749,6";"0,758";"7,47";;
18460000;2;10/05/2001;01/01/1900 11:20;157;"605,0";"4245,0";"5598,0";"749,6";"0,758";"7,47";;0
18460000;1;10/05/2001;01/01/1900 11:20;28;"605,0";"4245,0";"5598,0";"749,6";"0,758";"7,47";;
18460000;2;25/11/2000;01/01/1900 07:00;27;"486,0";"2394,0";"4662,0";"747,2";"0,514";"6,2";;
18460000;2;25/11/2000;01/01/1900 07:00;156;"486,0";"2394,0";"4662,0";"747,2";"0,514";"6,2";;0
18460000;1;25/11/2000;01/01/1900 07:00;27;"486,0";"2394,0";"4662,0";"747,2";"0,514";"6,2";;
18460000;1;25/11/2000;01/01/1900 07:00;154;"486,0";"2394,0";"4662,0";"747,2";"0,514";"6,2";;
18460000;2;31/08/2000;01/01/1900 07:00;26;"347,0";"668,0";"3577,0";"736,2";"0,187";"4,9";;
18460000;2;31/08/2000;01/01/1900 07:00;155;"347,0";"668,0";"3577,0";"736,2";"0,187";"4,9";;0
18460000;1;31/08/2000;01/01/1900 07:00;153;"347,0";"488,0";"3577,0";"736,2";"0,137";"4,9";;
18460000;1;31/08/2000;01/01/1900 07:00;26;"347,0";"668,0";"3577,0";"736,2";"0,187";"4,9";;
18460000;2;07/06/2000;01/01/1900 07:00;153;"470,0";"1932,0";"4402,0";"729,0";"0,439";"6,0";;
18460000;2;07/06/2000;01/01/1900 07:00;154;"470,0";"1932,0";"4402,0";"729,0";"0,439";"6,0";;0
